Anshelevich, Elliot
Bennett, Kristin
Bequette, B. Wayne
Bringsjord, Selmer
Chen, Tianyi
Clark, Brian
Cunha, Frank J.
Cutler, Barbara
Embrechts, Mark
Franklin, Randolph W
Gao, Jianxi
Gittens, Alex
Gupta, Aparna
Hella, Mona M
Hicken, Jason E.
Intes, Xavier R. M.
Isaacson, David
Ji, Qiang
Kopsaftopoulos, Fotios
Kovacic, Gregor
Kramer, Peter
Lai, Rongjie
Lakshmi, K. V.
Lewis, Daniel
Lim, Chjan
Magdon-Ismail, Malik
Mathur, Amit
McGuinness, Deborah L
Mitchell, John
Olausson, Peter
Ozisik, Rahmi
Padalia, Rushabh
Paternain, Santiago
Patterson, Stacy
Pazour, Jennifer Ann
Radke, Richard
Rhone, Trevor David
Strzalkowski, Tomek
Szymanski, Boleslaw K.
Tajer, Ali
Van Heuveln,Bram
Walczyk, Daniel
Wang, Ge
Wang, Meng
Xia, Lirong
Xu, Yangyang
Yan, Pingkun
Yazici, Birsen
Yener, Bulent
Zaki, Mohammed
Zhao, Hao
Zhou, Yalun Helen
